% time  amplitude  freq   approx.island width[cm] (CATS)
61.9016  0.000472276  7.8125  6.277642
61.9098  0.000390073  7.93457  5.705304
61.918  0.000392786  7.87354  5.72519
61.9262  0.000371939  7.87354  5.571252
61.9344  0.000385912  7.93457  5.674991
61.9426  0.000356079  7.99561  5.451266
61.9508  0.00036832  7.93457  5.544202
61.959  0.000357403  7.93457  5.461436
61.9672  0.00033572  7.93457  5.293183
61.9754  0.000367188  7.93457  5.535697
61.9836  0.000334875  7.93457  5.286503
61.9918  0.000320744  7.99561  5.173742
62  0.000283177  8.05664  4.861297
62.0082  0.000301651  8.05664  5.01733
62.0164  0.000269195  8.11768  4.739695
62.0246  0.000287357  8.11768  4.896929
62.0328  0.000245733  8.17871  4.528353
62.041  0.00025312  8.17871  4.595861
62.0492  0.000252515  8.17871  4.59031
62.0574  0.000256396  8.23975  4.625392
62.0656  0.000243665  8.30078  4.509035
62.0738  0.000227327  8.36182  4.355184
62.082  0.00022264  8.36182  4.30999
62.0902  0.000216066  8.78906  4.245819
62.0984  0.00023584  8.91113  4.435784
62.1066  0.00022487  8.97217  4.331325
62.1148  0.000223791  9.0332  4.320854
62.123  0.000213364  9.09424  4.218929
62.1311  0.000205864  9.09424  4.144053
62.1393  0.000206443  9.15527  4.149815
62.1475  0.00020075  9.15527  4.092136
62.1557  0.000199739  9.09424  4.081761
62.1639  0.000196892  9.15527  4.052511
62.1721  0.00020481  9.15527  4.133138
62.1803  0.000198729  9.21631  4.071266
62.1885  0.000200063  9.21631  4.084857
62.1967  0.000203869  9.21631  4.12348
62.2049  0.000214595  9.21631  4.230514
62.2131  0.000202774  9.21631  4.112299
62.2213  0.00020039  9.21631  4.08801
62.2295  0.000195817  9.21631  4.041055
62.2377  0.000231385  9.21631  4.392714
62.2459  0.000227183  9.33838  4.352604
62.2541  0.000201038  8.97217  4.094459
62.2623  0.000170976  8.8501  3.775907
62.2705  0.000179443  8.54492  3.868241
62.2787  0.000195883  8.42285  4.041525
62.2869  0.000177045  8.42285  3.84225
62.2951  0.000165798  8.42285  3.71818
62.3033  0.00018278  8.42285  3.903933
62.3115  0.000180949  8.42285  3.884306
62.3197  0.000179249  8.42285  3.865995
62.3279  0.00019423  8.36182  4.024285
62.3361  0.000159919  8.36182  3.65156
62.3443  0.000162993  8.36182  3.686472
62.3525  0.000170435  8.36182  3.769676
62.3607  0.000168315  8.36182  3.746143
62.3689  0.000157128  8.36182  3.619497
62.377  0.000146779  8.42285  3.498259
62.3852  0.000148121  8.42285  3.514205
62.3934  0.000146825  8.48389  3.498789
62.4016  0.00014697  8.48389  3.500508
62.4098  0.000146849  8.54492  3.49906
62.418  0.000140356  8.60596  3.420824
